observation_year,policy_id,age,term,currency_gbp,currency_non_gbp,equity,property,bonds,cash,sum_assured,premium,weight,gender,smoker_status,product_type,issue_year,distribution_channel,region,policy_status,event_type,exit_year,payment_method,annual_income_band,policy_duration,missed_payments_last_12m,customer_tenure,fund_value
2026,POL000192,57,38,306132.44518336304,23847.554816636955,88507.32426791213,65761.93239033165,157715.1810537278,17995.56228802842,329980,5896.45,1.0,Male,Non-Smoker,Whole Life,2011,IFA,North,ACTIVE,,,Direct Debit,40k-60k,16,0,16,54110.52
2026,POL000195,45,36,368491.552142941,17329.447857059014,34768.67004246227,27967.193081193367,296055.00010580424,27030.13677054009,385821,11573.01,1.0,Female,Non-Smoker,Whole Life,2011,Direct,South,ACTIVE,,,Direct Debit,40k-60k,16,1,16,116306.58
2026,POL000196,46,34,279649.9865160577,15366.013483942312,75320.03454477416,30860.109741787117,164799.66418468498,24036.191528753756,295016,11561.85,1.0,Female,Non-Smoker,Term,2012,Aggregator,Scotland,ACTIVE,,,Direct Debit,40k-60k,15,0,15,0.0
2026,POL000197,38,31,179155.9934721979,3383.006527802092,31993.179457157392,1591.2918311342312,138226.55505554218,10727.9736561662,182539,6282.08,1.0,Male,Non-Smoker,Whole Life,2012,Direct,South,ACTIVE,,,Direct Debit,20k-40k,15,0,15,92544.01
2026,POL000201,70,35,354816.63908323017,37817.36091676983,50867.653825526824,66788.56727263032,264265.8133736479,10711.965528194967,392634,13018.77,1.0,Male,Non-Smoker,Term,2004,Direct,Wales,ACTIVE,,,Direct Debit,40k-60k,23,0,23,0.0
2026,POL000206,65,19,711926.1701878018,74872.82981219818,61166.07994333211,17631.724228541563,683977.9566906893,24023.23913743696,786799,26633.56,1.0,Male,Non-Smoker,Term,2009,Direct,North,ACTIVE,,,Direct Debit,60k-100k,18,1,18,0.0
2026,POL000212,42,16,798221.4007213064,142484.59927869355,291753.6812802219,34637.907060315716,611206.2647845077,3108.146874954691,940706,32523.03,1.0,Male,Non-Smoker,Term,2014,IFA,Scotland,ACTIVE,,,Bank Transfer,100k+,13,0,13,0.0
2026,POL000218,62,38,717833.1625430174,64018.83745698258,78012.09652467731,27576.664287759093,470051.83184116625,206211.4073463973,781852,31188.39,1.0,Female,Non-Smoker,Term,2000,IFA,Midlands,ACTIVE,,,Bank Transfer,100k+,27,0,27,0.0
2026,POL000223,78,30,253711.68278591035,27023.31721408965,67805.053308029,25169.886614898278,181670.82732563742,6089.23275143528,280735,3801.64,1.0,Male,Non-Smoker,Whole Life,2002,Direct,Midlands,ACTIVE,,,Credit Card,20k-40k,25,0,25,41257.13
2026,POL000225,70,39,783469.0195372199,91108.9804627801,35185.75508193078,12098.601653238653,769542.6729901831,57750.970274647465,874578,33079.21,1.0,Male,Non-Smoker,Term,1989,IFA,North,ACTIVE,,,Direct Debit,60k-100k,38,0,38,0.0
2026,POL000231,58,39,129213.88658958193,18478.113410418067,30370.629839624315,20180.607729455834,93978.93807803106,3161.824352888798,147692,2357.44,1.0,Male,Non-Smoker,Whole Life,1991,IFA,Scotland,ACTIVE,,,Bank Transfer,20k-40k,36,0,36,24247.15
2026,POL000232,77,24,173941.69411469402,11213.305885305977,21014.163530805792,17086.585389573913,144040.53017294937,3013.720906670933,185155,4799.65,1.0,Male,Non-Smoker,Term,2009,Aggregator,Wales,ACTIVE,,,Direct Debit,20k-40k,18,0,18,0.0
2026,POL000233,69,39,283896.2173599675,15405.782640032528,56756.946696948595,10192.296869217831,206590.8681108575,25761.88832297607,299302,8144.2,1.0,Female,Non-Smoker,Term,2006,Aggregator,South,ACTIVE,,,Direct Debit,40k-60k,21,0,21,0.0
2026,POL000237,79,33,127014.85253046756,18433.147469532443,28030.003209111168,28014.623398536227,72420.92422578584,16982.44916656676,145448,4367.06,1.0,Male,Non-Smoker,Term,2008,IFA,Midlands,ACTIVE,,,Bank Transfer,20k-40k,19,1,19,0.0
2026,POL000248,47,24,206259.16615010175,19611.83384989825,20412.953101016836,19282.131346351165,177660.1204359332,8515.795116698777,225871,6104.15,1.0,Male,Non-Smoker,Term,2004,IFA,South,ACTIVE,,,Direct Debit,20k-40k,23,0,23,0.0
2026,POL000250,74,38,796777.5789731664,46310.42102683359,22583.149540312406,131033.49188059973,544981.8597268331,144489.49885225482,843088,13329.12,1.0,Male,Non-Smoker,Term,1990,IFA,Scotland,ACTIVE,,,Credit Card,60k-100k,37,0,37,0.0
2026,POL000252,64,25,229314.59755547263,39200.40244452737,37282.02579686052,1560.6987197739122,186122.0254507186,43550.25003264699,268515,5304.94,1.0,Male,Non-Smoker,Term,2003,Aggregator,Scotland,ACTIVE,,,Direct Debit,20k-40k,24,0,24,0.0
2026,POL000254,80,38,437449.25755596074,102329.74244403926,96179.08232933877,45616.45485871714,273017.5736660466,124965.88914589747,539779,20412.42,1.0,Female,Non-Smoker,Term,1994,IFA,Wales,ACTIVE,,,Direct Debit,60k-100k,33,0,33,0.0
2026,POL000255,50,30,155372.06183893466,2311.9381610653363,15500.320029311919,6569.989899246391,113054.04226098653,22559.647810455135,157684,5485.24,1.0,Male,Smoker,Endowment,2007,IFA,North,ACTIVE,,,Direct Debit,40k-60k,20,0,20,57072.53
2026,POL000260,75,37,186192.822782312,22460.177217688004,36473.88375379631,15632.959252290892,135518.61423518808,21027.54275872471,208653,8173.73,1.0,Male,Smoker,Whole Life,1995,Direct,Midlands,ACTIVE,,,Bank Transfer,40k-60k,32,1,32,86202.77
2026,POL000263,66,35,161716.8127554045,10314.187244595494,43767.85232031144,10539.484057295205,99965.76834156207,17757.895280831275,172031,5464.3,1.0,Male,Smoker,Term,1999,Direct,South,ACTIVE,,,Direct Debit,40k-60k,28,0,28,0.0
2026,POL000269,50,30,766110.4753155946,29932.52468440542,95544.45535524144,31986.307818104535,637830.6565631889,30681.580263465177,796043,22932.75,1.0,Male,Smoker,Term,2005,Aggregator,Midlands,ACTIVE,,,Direct Debit,60k-100k,22,2,22,0.0
2026,POL000273,94,39,94106.41534423221,8257.584655767787,32768.33703742915,2056.369857792494,51724.61970023627,15814.673404542082,102364,3637.81,1.0,Female,Non-Smoker,Whole Life,1993,Aggregator,London,ACTIVE,,,Direct Debit,20k-40k,34,0,34,36560.58
2026,POL000275,72,37,127350.18288016866,1985.8171198313357,15663.108947060215,24660.890424833764,78496.3548549256,10515.645773180426,129336,4832.86,1.0,Male,Non-Smoker,Term,2014,IFA,North,ACTIVE,,,Direct Debit,20k-40k,13,0,13,0.0
2026,POL000277,55,39,263328.6337637862,41830.36623621383,33210.07259234826,61820.29902724303,193620.6533267054,16507.975053703296,305159,10046.47,1.0,Female,Non-Smoker,Term,2003,IFA,London,ACTIVE,,,Bank Transfer,40k-60k,24,0,24,0.0
2026,POL000278,80,34,1178317.0918131412,259287.90818685875,82851.64499620583,17428.40627324157,1292722.4477988794,44602.50093167322,1437605,19975.07,1.0,Male,Smoker,Term,1994,Direct,Scotland,ACTIVE,,,Direct Debit,100k+,33,0,33,0.0
2026,POL000279,68,21,429367.5645468257,34731.43545317429,94170.4340405145,12448.986944586273,312448.0652540296,45031.513760869624,464099,14243.79,1.0,Female,Non-Smoker,Whole Life,2011,Aggregator,Midlands,ACTIVE,,,Direct Debit,40k-60k,16,0,16,185146.51
2026,POL000280,83,35,706182.3781304819,34865.62186951807,55140.54012434036,44075.9996423077,577436.306758091,64395.153475260944,741048,15758.12,1.0,Female,Non-Smoker,Endowment,1995,Aggregator,South,ACTIVE,,,Direct Debit,60k-100k,32,0,32,201398.61
2026,POL000282,77,28,96298.47117625015,10853.528823749846,14891.709723475718,5535.106381053764,77410.29760177435,9314.886293696167,107152,2030.39,1.0,Male,Non-Smoker,Term,2001,IFA,Midlands,ACTIVE,,,Bank Transfer,<20k,26,0,26,0.0
2026,POL000283,55,29,383212.735412517,35937.26458748302,151569.39324684473,1709.9664257026068,259923.00588370717,5947.634443745454,419150,13227.81,1.0,Male,Non-Smoker,Endowment,1999,IFA,London,ACTIVE,,,Direct Debit,40k-60k,28,0,28,185860.07
2026,POL000285,55,39,1899791.4406081531,94661.55939184688,779823.0476411707,77790.33324639464,1136296.1555550036,543.4635574312415,1994453,76587.0,1.0,Female,Non-Smoker,Term,2012,IFA,Wales,ACTIVE,,,Direct Debit,100k+,15,0,15,0.0
2026,POL000286,39,26,261526.45853834326,37963.54146165674,65237.80289448749,19895.277027208023,202358.80984367558,11998.110234628897,299490,9453.27,1.0,Female,Smoker,Term,2015,IFA,London,ACTIVE,,,Direct Debit,20k-40k,12,0,12,0.0
2026,POL000287,48,27,2277685.5010220325,293681.49897796754,326199.19287457597,275083.5281418489,1677705.170975475,292379.10800809995,2571367,83747.06,1.0,Male,Non-Smoker,Endowment,2002,Direct,South,ACTIVE,,,Direct Debit,100k+,25,0,25,1066173.61
2026,POL000289,58,32,385531.8892422452,25554.110757754825,29698.220846241293,2416.6469440957635,354949.6535980443,24021.47861161863,411086,8088.54,1.0,Male,Non-Smoker,Endowment,1996,Aggregator,North,ACTIVE,,,Bank Transfer,60k-100k,31,0,31,88343.98
2026,POL000292,38,39,78094.08939226686,6076.910607733138,17283.502382468963,1313.3855744378948,61178.51774759066,4395.5942955024875,84171,1336.43,1.0,Male,Non-Smoker,Term,2015,IFA,Scotland,ACTIVE,,,Direct Debit,20k-40k,12,0,12,0.0
2026,POL000296,55,27,380076.7386564834,52767.261343516584,41227.560267833425,31629.327176234936,340409.7499444287,19577.36261150299,432844,8787.36,1.0,Male,Non-Smoker,Term,2006,IFA,South,ACTIVE,,,Direct Debit,40k-60k,21,0,21,0.0
2026,POL000303,44,38,199956.96690174835,27646.033098251646,63663.08251875086,9091.567432884225,138177.7623881182,16670.587660246732,227603,9007.65,1.0,Female,Non-Smoker,Whole Life,2003,Aggregator,South,ACTIVE,,,Direct Debit,40k-60k,24,0,24,118851.87
2026,POL000305,89,30,1408592.08010468,50079.91989531997,107527.40325638831,26166.75542700677,1251021.8056317703,73956.03568483447,1458672,31835.19,1.0,Female,Non-Smoker,Whole Life,2002,Direct,North,ACTIVE,,,Direct Debit,100k+,25,0,25,416937.26
2026,POL000309,58,29,999750.8679412185,23835.132058781455,113815.88039393055,103712.45084999684,718176.2399323357,87881.42882373685,1023586,14090.6,1.0,Female,Non-Smoker,Term,2004,IFA,Midlands,ACTIVE,,,Direct Debit,100k+,23,0,23,0.0
2026,POL000311,57,39,185042.7905875862,28875.209412413795,40815.26252799664,15414.303362036277,97511.9479463454,60176.48616362168,213918,8305.23,1.0,Female,Non-Smoker,Term,1991,IFA,Wales,ACTIVE,,,Direct Debit,20k-40k,36,1,36,0.0
2026,POL000312,51,18,122565.39422094086,8067.605779059144,12061.389441692607,10710.108333657527,107620.85224099999,240.64998364988423,130633,5060.58,1.0,Male,Non-Smoker,Term,2015,Direct,South,ACTIVE,,,Credit Card,20k-40k,12,1,12,0.0
2026,POL000320,78,33,51961.24106799422,2981.7589320057814,14778.167707527538,596.2800579794168,31323.645493166427,8244.906741326617,54943,1076.83,1.0,Male,Non-Smoker,Whole Life,1995,IFA,Scotland,ACTIVE,,,Direct Debit,<20k,32,0,32,13362.54
2026,POL000321,69,23,651502.1725298273,14639.827470172662,150231.45685011926,23870.29150296254,453244.41231080866,38795.83933610952,666142,15325.98,1.0,Male,Non-Smoker,Endowment,2009,IFA,Wales,ACTIVE,,,Direct Debit,60k-100k,18,0,18,139065.38
2026,POL000325,85,35,2444350.57039751,213890.4296024898,581186.4276411467,311853.2074895537,1718933.446318843,46267.91855045641,2658241,94651.68,1.0,Female,Non-Smoker,Term,2004,IFA,Scotland,ACTIVE,,,Direct Debit,100k+,23,0,23,0.0
2026,POL000326,73,34,417072.0373307539,21295.962669246073,126157.66769702586,78568.80667822235,218361.21704810893,15280.308576642856,438368,14898.4,1.0,Female,Non-Smoker,Term,1997,Direct,Scotland,ACTIVE,,,Direct Debit,60k-100k,30,0,30,0.0
2026,POL000328,63,27,598567.5762471064,55259.42375289358,94125.09731552104,119724.99597199692,380991.7054589529,58985.20125352917,653827,19897.33,1.0,Female,Non-Smoker,Term,2007,Aggregator,Wales,ACTIVE,,,Direct Debit,60k-100k,20,0,20,0.0
2026,POL000330,80,36,164570.7727277308,4211.2272722692,23666.219704212595,89.64883971982927,122706.605705533,22319.52575053458,168782,3081.48,1.0,Female,Non-Smoker,Term,1995,Direct,South,ACTIVE,,,Direct Debit,20k-40k,32,0,32,0.0
2026,POL000332,81,30,66759.76698177138,4553.233018228624,9159.997622171672,164.31168049483898,50942.18099308915,11046.509704244345,71313,2123.31,1.0,Male,Non-Smoker,Term,2001,Direct,North,ACTIVE,,,Direct Debit,<20k,26,0,26,0.0
2026,POL000336,34,35,173919.74312364077,12548.256876359228,35679.742548559276,9885.741901641932,119173.49836551922,21729.017184279568,186468,3618.13,1.0,Female,Smoker,Whole Life,2015,IFA,Scotland,ACTIVE,,,Direct Debit,40k-60k,12,0,12,35180.77
2026,POL000338,85,26,112016.92353660648,5198.076463393518,1312.5660369523673,552.250044197197,80395.40369802972,34954.780220820714,117215,1624.14,1.0,Female,Non-Smoker,Endowment,2007,IFA,North,ACTIVE,,,Direct Debit,20k-40k,20,0,20,16668.44
2026,POL000341,63,18,82957.6671464853,1319.3328535147011,15185.220941654266,1459.650790700076,60465.42904854291,7166.699219102753,84277,3040.66,1.0,Female,Non-Smoker,Term,2013,Direct,North,ACTIVE,,,Direct Debit,20k-40k,14,0,14,0.0
2026,POL000344,87,34,188616.4795850541,46194.5204149459,6754.965623506222,12365.361301559245,198521.89624204414,17168.776832890377,234811,6146.74,1.0,Male,Non-Smoker,Term,1996,Direct,Midlands,ACTIVE,,,Direct Debit,40k-60k,31,0,31,0.0
2026,POL000351,51,39,213169.56022956097,63032.43977043903,92843.04905979476,16292.174658622407,140714.82854850515,26351.947733077686,276202,6726.1,1.0,Female,Non-Smoker,Term,2006,Aggregator,London,ACTIVE,,,Direct Debit,20k-40k,21,0,21,0.0
2026,POL000354,34,26,741188.1443623637,39068.85563763627,126425.64257953624,2558.17419295478,558310.3446961989,92962.83853131009,780257,24107.51,1.0,Female,Non-Smoker,Term,2017,IFA,South,ACTIVE,,,Direct Debit,100k+,10,0,10,0.0
2026,POL000358,49,29,252071.52062481173,48173.47937518827,53412.65875688965,42359.16856459202,203967.88151768188,505.2911608364666,300245,9220.69,1.0,Female,Non-Smoker,Term,1999,Direct,South,ACTIVE,,,Direct Debit,40k-60k,28,0,28,0.0
2026,POL000360,61,19,772447.5934216122,15154.406578387832,91663.17455854213,19555.356687871743,467250.2756463436,209133.19310724258,787602,11220.34,1.0,Male,Non-Smoker,Endowment,2009,Aggregator,Wales,ACTIVE,,,Direct Debit,60k-100k,18,0,18,127442.39
2026,POL000361,66,34,191677.67559607155,11630.324403928447,45806.95772360274,7968.756955444898,116099.88811035504,33432.39721059732,203308,8062.13,1.0,Male,Smoker,Endowment,2000,IFA,South,ACTIVE,,,Direct Debit,20k-40k,27,0,27,81076.31
2026,POL000364,79,36,427036.00061607495,1458.9993839250528,122622.22373885702,17479.264778227993,246451.24223616617,41942.269246748794,428495,16992.21,1.0,Female,Non-Smoker,Term,2003,Direct,Wales,ACTIVE,,,Bank Transfer,40k-60k,24,0,24,0.0
2026,POL000374,67,37,162260.4205654459,17172.579434554093,8487.37862763706,9464.035099857434,145396.41631360818,16085.169958897342,179433,6985.92,1.0,Female,Non-Smoker,Endowment,2003,IFA,Scotland,ACTIVE,,,Bank Transfer,20k-40k,24,0,24,82982.22
2026,POL000375,71,32,363991.3152233834,18814.684776616574,27909.62452555695,11861.957787681706,297066.8003721307,45967.617314630654,382806,10158.15,1.0,Male,Non-Smoker,Endowment,2003,IFA,Wales,ACTIVE,,,Bank Transfer,60k-100k,24,1,24,134338.0
2026,POL000376,55,36,450585.11825536,25651.881744640006,10209.245093885786,17153.694820629004,357463.9688658665,91410.09121961868,476237,9017.26,1.0,Male,Non-Smoker,Term,2004,IFA,Scotland,ACTIVE,,,Credit Card,40k-60k,23,0,23,0.0
